Species,Animal,Muscle,Axon Diameter (_m),Nerve Terminal Perimeter (_m),Nerve Terminal Area (_m2),Number of Terminal Branches,Number of Branch Points,Total Length of Branches (_m),Average Length of Branches (_m),"""Complexity"" ",AChR Perimeter (_m),AChR Area (_m2),Endplate Diameter (_m),Endplate Perimeter (_m),Endplate Area (_m2),Compactness,"""Area of Synaptic Contact"" (_m2)","""Overlap"" (%)",Number of AChR Clusters,Average Area of AChR Clusters (_m2),"""Fragmentation""",Fibre Diameter (_m)
Mouse,Mouse 1 L,EDL,3.1,348.7,335.3,27,23,172.8,7.4,4.93,294.1,473.3,42.4,121.3,763.8,63.5,303.4,65.1,2.5,260.3,0.42,43.7
Mouse,Mouse 1 R,EDL,3.1,314.6,326.4,23,24,164.7,8.8,4.84,247.4,418,39.5,114.1,653.4,65.7,285.6,69.5,1.8,313.5,0.25,43.4
Mouse,Mouse 2 L,EDL,3.5,355.1,337.4,28,27,178.6,7.2,5.02,314.3,445.2,41.6,117.7,735.3,62.7,295.5,66.7,2.2,255.2,0.41,42.5
Mouse,Mouse 2 R,EDL,3.1,364.5,326.4,34,30,183,6.3,5.16,322.2,457.6,44,120.1,725,64.3,304,66.8,2,306.3,0.3,40.3
Mouse,Mouse 3 L,EDL,3,301.8,262.1,26,23,151.3,6.3,4.86,252.3,370.9,39,108.3,571.7,66.9,231.4,63.9,2.3,216.8,0.38,37.9
Mouse,Mouse 3 R,EDL,3.3,383.7,360.7,37,33,196.8,6.1,5.25,341.5,505.7,48,129.9,811.7,64.6,329.3,66.4,3.2,239.6,0.45,43.8
Mouse,Mouse 1 L,PB,3.1,302.5,300.5,27,24,158.7,6.4,4.89,238.8,409.4,40.1,110,606.3,68.1,257.8,63.4,2.3,264.7,0.35,34.9
Mouse,Mouse 1 R,PB,2.8,275.6,246.6,24,24,143.7,6.6,4.82,199.6,368.9,34.1,99.4,512.2,72.3,226.4,62.1,1.6,294.4,0.2,37.9
Mouse,Mouse 2 L,PB,3,333.1,263.9,31,23,159.5,6.8,4.91,292,418.5,37.9,110.3,660.5,64.2,242.6,59.5,2.6,222.6,0.43,42.1
Mouse,Mouse 2 R,PB,2.6,374.4,285.1,36,24,176.7,5.7,5.06,322.1,448.5,44.2,119.5,727.9,62.8,264.9,60,2.3,287.5,0.33,40.8
Mouse,Mouse 3 L,PB,3.1,334.3,272.5,34,26,166.1,5.6,5.07,295.4,386,41.2,117.5,630.9,63.2,232.5,62.3,3,189.8,0.46,40.3
Mouse,Mouse 3 R,PB,2.7,316.7,250.1,27,21,153.7,8.5,4.77,281.2,380.4,39.1,109.9,622.2,63,229.4,63.4,2.4,212.9,0.4,42.1
Mouse,Mouse 1 L,PL,2.6,221,205.1,15,14,111.2,9.4,4.28,196.1,298.5,33.5,96.1,478.1,64.7,185.7,63.3,1.6,218.5,0.24,37
Mouse,Mouse 1 R,PL,3.1,252.6,238.9,28,23,132.7,6.7,4.67,226.4,364.2,34.8,104,581.4,64.2,221.9,62.8,1.9,251.3,0.29,35.8
Mouse,Mouse 2 L,PL,3,284.1,253.6,30,24,143.6,5.7,4.91,241.3,357.7,35.4,103.5,568.7,64.3,227.4,65.7,1.9,230.4,0.31,43.1
Mouse,Mouse 2 R,PL,3.1,293,251.5,24,23,146.9,6.9,4.8,253.9,331.9,38.9,109.5,559.9,60.6,217.7,66.3,2.3,197.5,0.37,40.7
Mouse,Mouse 3 L,PL,3,286.8,264.9,27,23,144.2,6.4,4.82,253.9,351.1,38.8,107.6,567.5,63.5,230.7,67.1,3.1,170.6,0.48,43.1
Mouse,Mouse 3 R,PL,2.9,358,286,41,32,179.6,6.1,5.18,330.7,416.3,52.5,138.1,747.5,58.4,250.6,62.1,3.4,185.3,0.55,40.4
Mouse,Mouse 1 L,S,3.5,312.7,351.1,36,34,178.2,5.5,5.24,231.1,442.4,43.9,128.1,651.2,68.9,293,66.5,2.4,267.6,0.37,39.7
Mouse,Mouse 1 R,S,3.1,336,372,30,28,182,6.4,5.07,260.3,481.4,43.6,127.9,740.5,66.8,314.2,65.5,3.1,264.3,0.39,40.5
Mouse,Mouse 2 L,S,3.5,391.2,394.7,42,33,202.9,5.3,5.38,313.1,561.7,50.8,142.7,885.9,64.5,351.8,62.4,3.1,267.7,0.5,37.5
Mouse,Mouse 2 R,S,3.3,406.5,436.7,34,29,208.8,6.8,5.23,334.8,579.7,52.4,148,939.6,63.2,362.8,63.3,3.9,226.6,0.56,38.1
Mouse,Mouse 3 L,S,3.2,326.6,302.7,30,24,164.4,6.1,4.98,256.4,417.2,43.3,121.2,677,64.4,259,62.3,2.4,225.3,0.44,37.6
Mouse,Mouse 3 R,S,3.1,384.7,372.1,34,30,200,6.7,5.16,321.2,495.4,54.2,145.4,858.9,61,312.8,63.7,4.7,156,0.63,40.6
Cat,Cat 8,PB,1.3,294.0007785,111.8274582,94.875,51.835,136.5430587,1.51690443,5.68380391,399.1655049,199.3940836,38.29635862,103.142392,402.4687314,50.831564,84.23908363,43.61698202,2.275,119.1660625,0.386666667,71.348054
Cat,Cat 9,PB,0.79,293.578243,103.7800877,95.35,52.353,134.4165052,1.569494631,5.728146999,342.6017318,178.1831104,33.61196899,100.1733911,382.4315751,48.55607237,79.0958015,45.49914728,2.6,90.07100053,0.45156746,85.6646104
Cat,Cat 5,PB,0.8,257.4574089,97.17815657,97.8,54.096,122.7794773,1.393742487,5.693028347,304.0396883,148.5895906,30.24491079,89.92473207,318.7476236,47.1980606,68.46054834,45.72308545,3.45,65.90768206,0.554007937,91.18377663
Cat,Cat 8,PL,1.1,262.4100784,89.6646417,107.075,60.564,123.8915217,1.242790127,5.773084828,337.8749371,159.9217358,28.43455311,87.79347182,306.776948,53.46762875,67.46923584,42.17781662,3.175,64.71946598,0.576011905,68.34770635
Cat,Cat 9,PL,0.8,364.6590224,124.2542935,149.15,102.704,181.624714,1.371045491,6.31175701,405.0199277,208.314436,34.45055254,100.967279,414.3488874,51.99035021,102.9540598,49.87013743,2.1,118.3692799,0.384583333,81.9563969
Cat,Cat 5,PL,0.7,274.372016,95.70917735,128.075,103.803,148.7497346,1.316735844,6.153004102,353.0109026,144.1349932,27.62644694,82.02885276,263.661898,56.38702418,66.29562886,45.91499449,3.05,71.88372878,0.500734127,73.90464776
Cat,Cat 8,EDL,0.9,232.2537364,82.38807367,87.55,40.677,103.131888,1.275795536,5.46287443,296.3201196,151.0556214,31.60023925,93.41278316,316.0001181,49.29795586,61.22312144,41.70478707,2.975,62.33387265,0.563928571,79.1095354
Cat,Cat 9,EDL,0.65,281.7335695,103.5147724,80.15,43.603,129.5692597,1.845757539,5.544380619,338.7422892,192.5675464,29.90866783,91.67439331,404.4860197,48.60401917,82.92151028,43.35438949,2.05,115.5158311,0.3825,79.71068203
Cat,Cat 5,EDL,0.7,190.9676694,69.01622921,57.16129032,26.53677419,82.27101957,1.62182974,4.949689476,237.4427065,127.840042,25.64888953,75.24140651,261.3839466,49.78431692,54.08710071,42.52471064,2,80.07902334,0.360215054,77.18513715
Cat,Cat 8,S,1.4,249.9810162,86.77092401,125.075,51.205,115.451108,1.044979731,5.753832627,331.765429,113.4310493,29.23352666,86.23647168,271.5036247,43.45854096,50.73362535,44.76485541,4.575,39.27634214,0.641477273,93.6295974
Cat,Cat 9,S,1.1,224.6372337,82.12002553,76.8,37.152,105.5333584,1.445976279,5.334095573,238.3804941,113.7310685,27.42258036,77.43912055,232.885034,50.88787693,61.39828087,54.29875091,3.171428571,46.18597648,0.537959184,109.450354
Cat,Cat 5,S,1.35,339.082317,135.6882225,118,66.409,159.8490848,1.425924109,6.020429663,407.9779339,177.5087487,34.57265428,109.2112051,423.2958927,43.72489921,89.36620738,50.95923271,6.525,35.79721643,0.787400516,100.2785625
Pony,Pony 1,CT,1.822141415,226.4163733,196.424691,28.83333333,21.88666667,114.9512257,4.489579148,4.799620558,213.936404,229.7190374,35.12005831,92.38273453,386.3024356,62.42862335,135.2310848,56.03906973,3,177.0544227,0.4,50.43668206
Pony,Pony 2,CT,1.651658306,195.8287527,172.1759969,29.725,17.101,95.23648865,3.68817827,4.59020118,181.7674608,186.7028831,34.02325201,90.43998582,351.1048565,54.69532915,118.4317922,63.18740058,4,63.46078929,0.650714286,51.17885156
Pony,Pony 3,CT,1.477606369,276.2172416,170.6652885,39.23076923,22.14153846,128.4555642,3.425845402,4.967051285,272.3255239,321.4803525,40.42029901,111.1722233,538.7545497,60.15570046,140.6366226,43.99781814,2.512820513,175.1709166,0.452564103,65.71820612
Pony,Pony 4,CT,1.882652264,200.7617115,168.9168136,25.86046512,24.5227907,104.7945084,4.58929921,4.631497958,173.9810337,204.9714757,29.87739722,84.51279035,340.1072889,61.67337757,124.9408838,61.41386451,2.461538462,115.0508749,0.41001221,69.2636514
Pony,Pony 5,CT,1.421720927,255.5868012,212.9095014,29.8372093,30.93023256,138.5167168,5.239005243,4.970689276,240.5150988,271.241069,37.89115342,101.2629693,455.4301787,61.34942279,171.2003084,63.1622484,2.511627907,148.8528156,0.413344408,67.9021485
Pony,Pony 1,EDL,1.20233678,233.3932878,249.7706227,25.06666667,27.81333333,131.2610593,6.463843251,4.842141044,213.8057459,297.2520118,39.62816889,104.8335481,461.7656365,66.03429075,197.5471464,67.56000871,2.166666667,190.9711661,0.458333333,54.78972762
Pony,Pony 2,EDL,2.152747017,305.9743684,233.5471209,48.26315789,24.84631579,139.4999168,3.113089192,5.146482517,260.6412204,255.4021119,44.31743653,127.7498669,585.9738629,45.33246126,153.115298,60.28878724,6.692307692,42.95356128,0.839768565,58.56495296
Pony,Pony 3,EDL,1.320714299,203.3204944,138.0094053,25.64705882,14.32941176,93.82561504,4.083594314,4.408015027,193.5089288,225.9170727,34.94484519,94.24848573,397.1895376,58.5646925,112.0344171,50.00190035,1.8125,166.911556,0.307291667,49.76131092
Pony,Pony 4,EDL,1.735039874,165.1132474,184.1140392,21.14634146,19.22439024,89.4464312,5.553619157,4.266432051,134.1126596,209.6487121,29.78398338,80.56083506,308.0986129,69.87441752,148.2228618,71.88886636,1.794117647,139.3256117,0.298039216,72.8601173
Pony,Pony 5,EDL,1.669402925,306.3901598,266.1109835,41.54790823,38.05203779,166.8684788,4.570419802,5.327756463,282.653413,334.9938077,40.58257729,108.9707494,543.1091428,62.8505093,218.1356752,65.36490803,2.110953058,207.9958185,0.371704599,84.9914188
Pony,Pony 1,S,2.688613047,140.3225923,154.9573088,13.51612903,10.38709677,63.81627664,5.162648074,3.841398966,96.90811581,112.3494908,27.94757312,68.74075242,180.6147487,63.36375544,84.23555631,74.8580017,5,35.48157759,0.761904762,33.36410393
Pony,Pony 2,S,1.875580016,187.8007318,183.198501,24.9,12.74,78.76566316,3.778329992,4.275391054,139.1726084,124.5644838,35.5093067,93.90534021,261.513291,49.66712122,92.27770432,73.51971708,4,37.15867474,0.75,43.68074358
Pony,Pony 3,S,1.574142913,139.8376034,105.0681825,22.14705882,7.444705882,52.7317064,2.510939583,3.807841259,119.0663043,121.4222851,23.97475556,69.61923939,229.1683716,53.92499846,65.55733426,55.66683661,3,55.96776029,0.545833333,34.92080578
Pony,Pony 4,S,2.088203784,142.148539,134.0344007,22.48571429,17.92,72.82157611,3.567820832,4.197960441,105.9952386,138.4812653,22.89071019,65.44089975,226.5196157,63.60905628,89.53540378,64.36628476,3.571428571,55.03856031,0.644688645,43.3804221
Pony,Pony 5,S,2.421232977,176.1585552,161.8707115,25.10526316,15.14947368,81.49531922,3.718093793,4.383636769,110.2422485,148.116548,25.54835519,71.94502545,241.0491579,63.29467016,95.15274905,64.42792227,2.5,72.97545185,0.500925926,43.2774198
Dog,Dog 1,PB,1.5,368.1724539,252.3457761,90.05,63.126,193.8553043,2.30998643,5.831181552,416.7980683,346.4246103,38.52026597,109.5022796,580.1121473,59.56702189,182.751116,52.21833563,2.225,196.0409079,0.389166667,67.35015782
Dog,Dog 3,PB,1.4,424.0081306,339.1402269,69.79545455,49.37545455,209.6853655,3.334446895,5.718915588,513.8569995,407.7075043,50.89170248,139.7491144,874.6797376,47.05404912,233.3627193,57.75355448,3,212.1390129,0.470012626,86.00860845
Dog,Dog 4,PB,1.6,285.6372536,150.8772632,73.47222222,54.33555556,144.5925359,2.26748,5.651285585,396.5040973,226.1801076,31.82707333,94.59235163,445.9860073,51.90250131,114.6492609,49.46125995,2.888888889,120.3279255,0.380632716,83.62785023
Dog,Dog 1,PL,2.5,527.6978734,332.1727334,129.5789474,74.43578947,250.7989693,2.011434666,6.289392979,644.9808348,509.2469344,55.97525633,160.3733348,1018.253467,51.14634159,256.7116927,50.68503148,4.131578947,169.4930994,0.659617794,72.3327663
Dog,Dog 3,PL,1.2,559.0295968,362.9286299,135.5263158,69.33684211,256.4614806,2.060698619,6.178490827,723.2539013,495.0661998,62.57813537,185.292878,1248.555421,40.94125279,236.3950488,49.35247246,6.552631579,117.2038896,0.74288325,89.98436301
Dog,Dog 4,PL,1.9,417.2399062,319.8523045,72.72727273,46.95090909,196.0698468,3.021430845,5.639770362,486.7473864,506.558326,46.8020386,132.8581946,900.5932158,54.04271578,274.0168679,53.59676062,4.318181818,201.0673444,0.655263676,88.94160947
Dog,Dog 1,EDL,1,546.112131,389.4975116,116.55,73.29,261.5652327,2.288089955,6.298752136,683.1027647,553.5435344,59.21624677,174.9573384,1092.279605,51.61694291,293.9645388,53.11812491,5.975,157.9304625,0.717726267,63.09119305
Dog,Dog 3,EDL,2.9,487.0406792,353.2832968,96.14634146,70.36195122,247.6244851,2.8735337,6.050213133,566.2240571,401.5285488,47.72301703,141.6831856,902.4873075,45.91895709,237.2276497,58.41170727,3.195121951,182.5596911,0.493058635,72.66064206
Dog,Dog 4,EDL,2.5,354.3528845,247.534715,76.52631579,57.26,180.6716463,2.817652477,5.800375828,396.9798872,341.3623886,39.48607397,113.0132007,667.1194857,50.98059858,190.5372342,53.54111775,2.027027027,221.5203325,0.350450451,70.99461843
Sheep,Sheep 1,PL,1.122099979,265.4029147,180.9943885,42.15384615,29.64769231,128.6928918,3.389494934,5.002056609,301.2667409,210.9293364,30.36448516,84.54902156,397.5729711,53.8242506,144.4212595,70.5201605,4.615384615,90.07942946,0.568609702,76.98755
Sheep,Sheep 2,PL,0.40051652,184.6772089,94.45564488,45.425,25.438,85.07808547,1.95360252,4.893080103,188.8390234,150.00898,26.06356418,70.33825481,267.7294366,56.84581361,80.64636735,53.11217544,4.425,51.48190139,0.622977717,61.272775
